szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BEREND Miklósné,2,https://www.wikidata.org/wiki/Q793350,NA,NA,nő,1881-11-21,Budapest,19.040833333,47.498333333,1956-04-22,Budapest VI. kerülete,19.06666667,47.5,121410720,NA
BÉRES Attila,2,https://www.wikidata.org/wiki/Q854553,NA,NA,NA,1946-05-06,Budapest,NA,NA,NA,NA,NA,NA,NA,NA
BÉRI Zsigmond,1,NA,1902,PUBLDATA ciszter évkönyvben listázott művek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BERKES Imre,1,https://www.wikidata.org/wiki/Q88798815,NA,NA,férfi,1878-12-04,Szigetvár,17.8125,46.048055555,1949-03-17,Budapest,19.040833333,47.498333333,38789971,NA
BERKES Péter,5,https://www.wikidata.org/wiki/Q17404774,NA,NA,NA,1931-11-12,Sopron,NA,NA,2022-06-01,NA,NA,NA,NA,NA
BERKESI András,29,https://www.wikidata.org/wiki/Q793532,NA,NA,férfi,1919-11-30,Budapest,19.040833333,47.498333333,1997-09-14,Budapest,19.040833333,47.498333333,32408325,NA
BERNÁTH Aurél,1,https://www.wikidata.org/wiki/Q793689,NA,NA,férfi,1895-11-13,Marcali,17.406388888,46.583055555,1982-03-13,Budapest,19.040833333,47.498333333,73980021,118656287
BERNÁTH Gáspár,9,https://www.wikidata.org/wiki/Q793679,NA,NA,férfi,1810-01-01,Tiszafüred,20.76,47.619,1873-01-04,Budapest,19.040833333,47.498333333,121411556,NA
BERTA Ilona,1,NA,1900-1942,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BERTALAN István,5,NA,1962-1970,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BERTHA Bulcsu,12,https://www.wikidata.org/wiki/Q793776,NA,NA,férfi,1935-05-09,Nagykanizsa,16.9975,46.455833333,1997-01-19,Budapest,19.040833333,47.498333333,71419780,121936961
BERZEVICZY Albert,1,https://www.wikidata.org/wiki/Q793861,NA,"ez nem biztos hogy szépirodalom: történelmi életrajz lehet, BA nem szépiró",férfi,1853-06-07,Berzevice,20.85,49.14444444,1936-03-22,Budapest,19.040833333,47.498333333,47543765,117589748
BERZSENYI Dániel,154,https://www.wikidata.org/wiki/Q721991,NA,NA,férfi,1776-05-07,Egyházashetye,17.118011111,47.169738888,1836-02-24,Nikla,17.516338888,46.581380555,7427085,119265885
BESSENYEI György,7,https://www.wikidata.org/wiki/Q794046,NA,NA,férfi,1747-01-01,Tiszabercel,21.65,48.15,1811-01-01,Bakonszeg,21.45,47.183333333,44314593,119268221
BETHLEN (Árva) Kata,1,https://www.wikidata.org/wiki/Q371727,NA,NA,nő,1700-11-30,Q5056704,24.476739,46.326002,1759-07-29,Fogaras,24.971388888,45.842222222,25471766,121934632
BETHLEN Margit,14,https://www.wikidata.org/wiki/Q101003464,NA,NA,nő,1882-08-06,Budapest,19.040833333,47.498333333,1970-06-07,Budapest,19.040833333,47.498333333,NA,NA
BETHLEN Miklós,1,https://www.wikidata.org/wiki/Q794215,NA,NA,férfi,1642-09-01,Magyarszentpál község,23.412223,46.909264,1716-10-27,Bécs,16.373064,48.20833,64063809,119540029
BETLEN Oszkár,1,https://www.wikidata.org/wiki/Q794231,NA,NA,férfi,1909-09-13,Pozsony,17.112777777,48.144722222,1969-01-20,Budapest,19.040833333,47.498333333,74296682,NA
BEZERÉDY Amália,1,https://www.wikidata.org/wiki/Q794385,NA,NA,nő,1804-04-15,Uraiújfalu,16.983333,47.366667,1837-09-21,Máriavölgy,17.06,48.24805556,64029777,NA
BIBÓ Lajos,8,https://www.wikidata.org/wiki/Q794614,NA,NA,férfi,1890-12-20,Hódmezővásárhely,20.318888888,46.430277777,1972-10-27,Hódmezővásárhely,20.318888888,46.430277777,42284736,NA
BIHARI Klára,2,https://www.wikidata.org/wiki/Q14339854,NA,NA,nő,1917-12-08,Nagyszalonta,21.65,46.8,1997-06-06,Budapest,19.040833333,47.498333333,74263937,NA
BIHARI Sándor,7,https://www.wikidata.org/wiki/Q13477784,NA,NA,férfi,1932-08-17,Kisgyőr,20.689288888,48.012230555,2011-01-27,NA,NA,NA,48140695,NA
BIKICH Gábor,3,https://www.wikidata.org/wiki/Q65041219,NA,NA,NA,1923-04-06,Budapest,NA,NA,2002-06-26,Budapest,NA,NA,NA,NA
BIRKÁS Endre,1,https://www.wikidata.org/wiki/Q28358881,NA,NA,férfi,1913-08-05,Budapest,19.040833333,47.498333333,1975-11-29,NA,NA,NA,NA,NA
BÍRÓ Lajos,52,https://www.wikidata.org/wiki/Q256054,NA,NA,férfi,1880-08-22,Nagyvárad,21.921111111,47.072222222,1948-09-09,London,-0.1275,51.507222222,44496747,123638178
BÍRÓ Zoltán (Gelsei),2,NA,1874-1929,"PUBLDATA mokka, az első születési dátum valahonnan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLASKÓ Mária,2,https://www.wikidata.org/wiki/Q20435752,NA,NA,nő,1891-09-20,Lugos,21.900555555,45.686111111,1956-05-26,NA,NA,NA,306153790,NA
