author,region1,region2
HARSÁNYI Zsolt,Austria,Switzerland
MÁRAI Sándor,Austria,Switzerland
MIKSZÁTH Kálmán,Austria,Switzerland
ZILAHY Lajos,Austria,Switzerland
PILINSZKY János,Austria,Switzerland
DÉRY Tibor,Austria,Turkey
HARSÁNYI Zsolt,Austria,Turkey
MÁRAI Sándor,Austria,Turkey
ZILAHY Lajos,Austria,Turkey
PETŐFI Sándor,Austria,Turkey
MOLNÁR Ferenc,Austria,Turkey
PETŐFI Sándor,Austria,USSR-azerbajdzsán
PETŐFI Sándor,Austria,USSR-baskir
DÉRY Tibor,Austria,USSR-fehérorosz
ÖRKÉNY István,Austria,USSR-fehérorosz
PETŐFI Sándor,Austria,USSR-fehérorosz
DÉRY Tibor,Austria,USSR-grúz
MIKSZÁTH Kálmán,Austria,USSR-grúz
ÖRKÉNY István,Austria,USSR-grúz
PETŐFI Sándor,Austria,USSR-grúz
MOLNÁR Ferenc,Austria,USSR-grúz
ADY Endre,Austria,USSR-grúz
MIKSZÁTH Kálmán,Austria,USSR-kazah
PETŐFI Sándor,Austria,USSR-kazah
ÖRKÉNY István,Austria,USSR-kirgiz
PETŐFI Sándor,Austria,USSR-kirgiz
FEKETE István,Austria,USSR-lett
ILLÉS Béla,Austria,USSR-lett
MIKSZÁTH Kálmán,Austria,USSR-lett
ÖRKÉNY István,Austria,USSR-lett
GÁRDONYI Géza,Austria,USSR-lett
FEJES Endre,Austria,USSR-lett
ILLYÉS Gyula,Austria,USSR-lett
PETŐFI Sándor,Austria,USSR-lett
MOLNÁR Ferenc,Austria,USSR-lett
HOLLÓS KORVIN Lajos,Austria,USSR-litván
ILLÉS Béla,Austria,USSR-litván
MIKSZÁTH Kálmán,Austria,USSR-litván
GÁRDONYI Géza,Austria,USSR-litván
FEJES Endre,Austria,USSR-litván
PETŐFI Sándor,Austria,USSR-litván
MOLNÁR Ferenc,Austria,USSR-litván
DÉRY Tibor,Austria,USSR-moldva
PETŐFI Sándor,Austria,USSR-moldva
MOLNÁR Ferenc,Austria,USSR-moldva
BÓKA László,Austria,USSR-orosz
DÉRY Tibor,Austria,USSR-orosz
FEKETE István,Austria,USSR-orosz
HÁY Gyula,Austria,USSR-orosz
HOLLÓS KORVIN Lajos,Austria,USSR-orosz
ILLÉS Béla,Austria,USSR-orosz
MIKSZÁTH Kálmán,Austria,USSR-orosz
ÖRKÉNY István,Austria,USSR-orosz
SZABÓ Pál,Austria,USSR-orosz
PASSUTH László,Austria,USSR-orosz
GÁRDONYI Géza,Austria,USSR-orosz
KRÚDY Gyula,Austria,USSR-orosz
FEJES Endre,Austria,USSR-orosz
ILLYÉS Gyula,Austria,USSR-orosz
PETŐFI Sándor,Austria,USSR-orosz
MOLNÁR Ferenc,Austria,USSR-orosz
ADY Endre,Austria,USSR-orosz
PETŐFI Sándor,Austria,USSR-tadzsik
PETŐFI Sándor,Austria,USSR-türkmén
PETŐFI Sándor,Austria,USSR-udmurt
ILLÉS Béla,Austria,USSR-ukrán
MIKSZÁTH Kálmán,Austria,USSR-ukrán
GÁRDONYI Géza,Austria,USSR-ukrán
ILLYÉS Gyula,Austria,USSR-ukrán
PETŐFI Sándor,Austria,USSR-ukrán
MOLNÁR Ferenc,Austria,USSR-ukrán
ADY Endre,Austria,USSR-ukrán
DÉRY Tibor,Austria,USSR-észt
MIKSZÁTH Kálmán,Austria,USSR-észt
ÖRKÉNY István,Austria,USSR-észt
