id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
1834,"Entz Géza","Pätzke Henning","Die Kunst der Gotik",German,Hungary,1981,Budapest,Corvina,"254 p. ill.",Hungarian,,"A gótika Művészete",,,,,
1835,"Andraš David","David Andraš","Hej paun paune: antologija...","Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1980,Beograd,"Narodna knjiga","322 p.",Hungarian,,,,,,,
1836,"Fehér Klára","Damjanov Ljerka","Imat ću svoj otok...; Indijančev","Serbo-Croatian (to 1992); Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1980,Zagreb,Mladost,"131 p. ill.","Hungarian; Hungarian",,"Lesz nekem egy szigetem; Az indián kertje",,,,,
1837,"Kertész Ákos","Olszański Tadeusz","Makra; czyli, Cena przegranej",Polish,Poland,1980,Warszawa,"Państwowy Instytut Wydawniczy","223 p.",Hungarian,"Wyd. 3",Makra,,,,,
1838,"Fehér Géza","Stebneva Ksenija","Tureckie miniatjury vremen pokorenija vengrii",Russian,Hungary,1980,"Budapest; Budapest","Corvina; M. Helikon","30, 112 p. ill.",Hungarian,,"Török miniatúrák a magyarországi hódoltság koráról",,,,,
1839,"Hajnóczi Gábor","Thierry Heribert","Andrea Palladio",German,Hungary,1980,Budapest,Corvina,"160, 48 p. ill.",Hungarian,,"Andrea Palladio",,,,,
1840,"Gerszi Teréz","Marinie Arlette","Dessins hollandais et flamands",French,Hungary,1980,Budapest,Corvina,"37, 128 p. ill.",Hungarian,,"A németalföldi rajzmüvészet két évszázada",,,,,
1841,"Kaesz Gyula","Mme Ferenc Alexa; et al.","Stili mebeli",Russian,Hungary,1981,Budapest,"Akadémiai Kiadó","269, 32 p. ill.",Hungarian,"2nd ed.","Ismerjük meg a bútorstilusokat!",,,,,
1842,"Kapocsy György","Varga Margaret","Hortobágy: 153 colour plates",English,Hungary,1980,Budapest,Corvina,"80 p. ill.",Hungarian,,Hortobágy,,,,,
1843,"Gárdonyi Géza","Ćurčija Petar","Rob Huna...","Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1980,"Beograd; Beograd","Prosveta; Jugoslavija","383 p.",Hungarian,,"Lathatatlan ember",,,,,
1844,"Kapocsy György","Nagy Valér","Hortobágy: 153 Farbfotos",German,Hungary,1980,Budapest,Corvina,"80 p. ill.",Hungarian,,Hortobágy,,,,,
1845,"Márton Klára","Mazurkiewicz Alicja","Proszę mnie porwać!",Polish,Poland,1981,Warszawa,"Nasza Księgarnia","261 p. ill.",Hungarian,,"Tessék engem elrabolni",,,,,
1846,"Kertész Iván",,"A Magyar Állami Operaház","Multiple languages",Hungary,1980,Budapest,"M. Áll. Operaház","49 p. ill.",Hungarian,,,,,,,
1847,"Lajta Edit","Dubeux Luis Oscar","La pintura francesa",Spanish,Hungary,1980,Budapest,Corvina,"25, 96 p. ill.",Hungarian,,"Korai francia festészet",,,,,
1848,"Lajta Edit","Ajzatulina-Szilárd Elena","Rannija francuzskaja živopis'",Russian,Hungary,1980,Budapest,Corvina,"48 p. ill.",Hungarian,,"Korai francia festészet",,,,,
1849,"Nemeskürty István","Mišinova Natalija","Kratkaja istorija vengerskogo kino",Russian,Hungary,1980,Budapest,Corvina,"45 p. ill.",Hungarian,,,,,,,
1850,"Nemeskürty István","Engel Brigitte","Kurze Geschichte des ungarischen Films",German,Hungary,1980,Budapest,Corvina,"46 p. ill.",Hungarian,,,,,,,
1851,"Nemeskürty István","Tompa Maria","Petite histoire du cinéma hongrois",French,Hungary,1980,Budapest,Corvina,"43 p. ill.",Hungarian,,,,,,,
1852,"Nemeskürty István","Szöllösy J. E.","A short history of the Hungarian cinema",English,Hungary,1980,Budapest,Corvina,"37 p. ill.",Hungarian,,,,,,,
1853,"Cseres Tibor","Olszański Tadeusz","Zimne dni",Polish,Poland,1989,Warszawa,"Państwowy Instytut Wydawniczy","136 p.",Hungarian,"Wyd. 2","Hideg napok",,,,,
1854,,,"Regional planning in Hungary",English,Hungary,1980,Budapest,"Építésügyi és Városfejlesztési Minisztérium","35 p. ill.",Hungarian,,,,,,,
1855,"Szerencsés János","Bajkó István",Sopron,German,Hungary,1980,Budapest,Corvina,"19, 93 p. ill.",Hungarian,,Sopron,,,,,
1856,,,"Le trentième anniversaire des Studios Pannonia",French,Hungary,1980,Budapest,Interpress,"52, 4 p. ill.",Hungarian,,,,,,,
1857,,,"30 years of Pannonia Film Studio",English,Hungary,1980,Budapest,Interpress,"52 p. ill.",Hungarian,,,,,,,
1858,"Burger Alice","Gáthy Vera","Late Roman money circulation in South-Pannonia",English,Hungary,1981,Budapest,"M. Nemzeti Múzeum","231 p. ill.",Hungarian,,,,,,,
1859,"Koch Aurél",,"Aurel Koch, ein ungarndeutscher Maler und Graphiker",German,Hungary,1981,Budapest,Tankönyvkiadó,"95 p. ill.",Hungarian,,"Koch Aurél",,,,,
1860,"Gárdos Miklós",,"Ungarn 1981",German,Hungary,1981,Budapest,Pannónia,"349, 12 p.",Hungarian,,,,,,,
1861,"Arató Endre",,"Gedenkschrift Endre Arató",German,Hungary,1981,Budapest,"L. Tudományegyetem","512 p. ill.",Hungarian,,,,,,,
1862,"Juhász Imre; Kun Károly","Bartyik Beate",Hajdúszoboszló,German,Hungary,1981,Budapest,Panorama,"81, 8 p. ill.",Hungarian,,Hajdúszoboszló,,,,,
1863,"Moldova György","Olszański Tadeusz; Schweinitz-Kulisiewicz Magdalena","Niezwyciężona jedenastka i inne opowiadania [extr.]",Polish,Poland,1980,Warszawa,Czytelnik,"213 p.",Hungarian,,,,,,,
