author,region1,region2
ÖRKÉNY István,Austria,Federal Republic of Germany
VASZARY Gábor,Austria,Federal Republic of Germany
ZILAHY Lajos,Austria,Federal Republic of Germany
PASSUTH László,Austria,Federal Republic of Germany
GÁRDONYI Géza,Austria,Federal Republic of Germany
KÖRMENDI Ferenc,Austria,Federal Republic of Germany
KRÚDY Gyula,Austria,Federal Republic of Germany
FEJES Endre,Austria,Federal Republic of Germany
SZÁSZ Imre,Austria,Federal Republic of Germany
ILLYÉS Gyula,Austria,Federal Republic of Germany
MOLNÁR Ferenc,Austria,Federal Republic of Germany
ADY Endre,Austria,Federal Republic of Germany
BALÁZS Béla,Austria,Finland
DÉRY Tibor,Austria,Finland
ÖRKÉNY István,Austria,Finland
ZILAHY Lajos,Austria,Finland
GÁRDONYI Géza,Austria,Finland
FEJES Endre,Austria,Finland
SZÁSZ Imre,Austria,Finland
ILLYÉS Gyula,Austria,Finland
PETŐFI Sándor,Austria,Finland
PILINSZKY János,Austria,Finland
MOLNÁR Ferenc,Austria,Finland
ADY Endre,Austria,Finland
DÉRY Tibor,Austria,France
HÁY Gyula,Austria,France
ÖRKÉNY István,Austria,France
ZILAHY Lajos,Austria,France
PASSUTH László,Austria,France
KÖRMENDI Ferenc,Austria,France
KRÚDY Gyula,Austria,France
FEJES Endre,Austria,France
ILLYÉS Gyula,Austria,France
PETŐFI Sándor,Austria,France
PILINSZKY János,Austria,France
MOLNÁR Ferenc,Austria,France
ADY Endre,Austria,France
BÓKA László,Austria,GDR
DÉRY Tibor,Austria,GDR
FEKETE István,Austria,GDR
HÁY Gyula,Austria,GDR
ILLÉS Béla,Austria,GDR
MIKSZÁTH Kálmán,Austria,GDR
ÖRKÉNY István,Austria,GDR
SZABÓ Pál,Austria,GDR
PASSUTH László,Austria,GDR
GÁRDONYI Géza,Austria,GDR
KRÚDY Gyula,Austria,GDR
FEJES Endre,Austria,GDR
ILLYÉS Gyula,Austria,GDR
PETŐFI Sándor,Austria,GDR
MOLNÁR Ferenc,Austria,GDR
ADY Endre,Austria,GDR
GÁRDONYI Géza,Austria,Greece
FEKETE István,Austria,Hungary
ILLÉS Béla,Austria,Hungary
MIKSZÁTH Kálmán,Austria,Hungary
GÁRDONYI Géza,Austria,Hungary
KRÚDY Gyula,Austria,Hungary
ILLYÉS Gyula,Austria,Hungary
PETŐFI Sándor,Austria,Hungary
PILINSZKY János,Austria,Hungary
MOLNÁR Ferenc,Austria,Hungary
ADY Endre,Austria,Hungary
PETŐFI Sándor,Austria,India
ADY Endre,Austria,India
PETŐFI Sándor,Austria,Iran
ILLÉS Béla,Austria,Israel
GÁRDONYI Géza,Austria,Israel
PETŐFI Sándor,Austria,Israel
